id,mz,rt,rtmin,rtmax,mean_inten,DPT-D-60m,DPT-H-60m,DPT-M-60m,DPT-R-60m
269,420.2385,4.0315,3.9846,4.1619,225300.0,8802.0,7756.0,8919.0,8697.0
270,666.39114,4.2184,4.1432,4.3318,319700.0,10080.0,9712.0,11440.0,13740.0
276,619.32331,4.2363,4.0278,4.5184,246000.0,19090.0,20450.0,22350.0,24850.0
277,696.43842,4.2435,4.1951,4.4462,1177000.0,46900.0,35080.0,46820.0,46120.0
278,531.30486,4.2759,4.1187,4.6036,1165000.0,97010.0,87340.0,100300.0,111700.0
279,518.28161,4.2687,4.2148,4.4318,1123000.0,47440.0,45960.0,52970.0,58150.0
281,435.22055,4.2867,4.0941,4.5085,246500.0,18070.0,16340.0,16430.0,16800.0
283,548.32868,4.3046,4.2435,4.9101,25020000.0,1193000.0,1046000.0,1154000.0,1254000.0
285,503.3079,4.3046,4.2166,4.381,177400.0,8053.0,5813.0,6450.0,9050.0
286,553.28351,4.3082,4.2664,4.4379,290700.0,13430.0,11660.0,12080.0,14270.0
287,576.35963,4.3082,4.2007,4.5427,1641000.0,70210.0,61330.0,64900.0,74900.0
288,414.27024,4.1216,4.0323,4.2723,135100.0,9767.0,6777.0,12220.0,6263.0
289,443.28546,4.3191,4.2166,4.6329,485500.0,35230.0,34330.0,36000.0,39790.0
290,460.3117,4.3155,4.2023,4.6,307000.0,35050.0,31350.0,35150.0,37920.0
291,740.46466,4.3191,4.2619,4.4894,221100.0,9490.0,5717.0,7576.0,8356.0
292,622.30061,4.3263,4.2579,4.4619,608400.0,1087.0,25580.0,9003.0,1011.0
293,481.18494,4.3263,4.2619,4.4904,328700.0,1411.0,15000.0,6213.0,4137.0
294,559.30203,4.3479,4.2597,4.5317,594700.0,25560.0,26960.0,25630.0,31090.0
295,432.28966,4.4048,4.1619,4.5517,382600.0,4757.0,16760.0,6160.0,19600.0
296,562.30763,4.3729,4.3155,4.5427,1122000.0,48670.0,49480.0,50420.0,54290.0
298,405.17317,4.3799,4.2951,4.5661,1201000.0,55180.0,41250.0,41020.0,52630.0
300,400.21813,4.3799,4.3299,4.5173,42030000.0,1912000.0,1970000.0,1667000.0,2105000.0
301,428.24938,4.3799,4.3095,4.7234,5630000.0,241400.0,249000.0,212800.0,232200.0
302,562.34373,4.5006,4.2664,4.5761,288500.0,18640.0,20880.0,6083.0,8662.0
304,575.32794,4.3976,4.3383,4.6036,685300.0,29380.0,26700.0,27540.0,29870.0
305,592.35466,4.3976,4.3383,4.867,20280000.0,961000.0,889800.0,862200.0,974700.0
