row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,CPD-D-60m.mzML Peak area,CPD-H-60m.mzML Peak area,CPD-M-60m.mzML Peak area,CPD-R-60m.mzML Peak area,
381,868.5134220601033,5.159759,,,,,,,,,,,426.4909,227.5888,25119.906,244.41513,
382,603.2554414166528,5.0880427,,,,,,,,,,,18437.865,22123.77,7816.7603,18729.857,
384,386.316790809633,5.002139,,,,,,,,,,,0,55805.48,0,51.967587,
385,868.5688624503716,5.0914283,,,,,,,,,,,353.67764,230.73349,36466.59,251.96155,
387,391.31669983520857,5.106802,,,,,,,,,,,0,43427.848,0,0,
388,523.2670508612144,5.11324,,,,,,,,,,,132689.27,136771.16,80874.42,90418.555,
389,509.25161926720364,5.11324,,,,,,,,,,,7796.421,16294.817,6942.363,25204.03,
390,520.2184902896371,5.11324,,,,,,,,,,,92640.195,106381.59,76399.695,95584.83,
391,822.9627846349338,5.1201005,,,,,,,,,,,479.69293,291.41754,27092.74,249.14706,
392,372.34754375632883,5.127892,,,,,,,,,,,48.943954,178807.47,0,0,
393,509.28761166361755,5.170432,,,,,,,,,,,50509.965,11886.491,43252.21,18600.049,
396,370.33192355087385,5.23869,,,,,,,,,,,129.77911,46377.58,52.78929,56.010475,
397,495.2717688553039,5.181148,,,,,,,,,,,3828.6277,2213.5706,14908.143,7637.514,
398,504.22345156826617,5.199174,,,,,,,,,,,1964816.2,2042230.4,1528052.6,1773806.9,
399,505.2266485501747,5.199174,,,,,,,,,,,560958.75,470970.66,351943.62,548938.8,
400,377.3374241326458,5.2085958,,,,,,,,,,,239.05078,12200.19,264.28287,0,
401,532.2548163883788,5.2170625,,,,,,,,,,,315728.4,324301.12,257399.67,286978.53,
402,533.2580526560245,5.2170625,,,,,,,,,,,96467.59,101540.19,81484.04,88455.26,
403,375.321940741104,5.237287,,,,,,,,,,,47.075832,14527.978,133.98839,0,
404,451.2702344776319,5.2242384,,,,,,,,,,,11906.238,11419.166,8743.981,10457.189,
405,868.393342579755,5.2027473,,,,,,,,,,,378.80032,199.24057,15155.588,296.83514,
406,494.1945373328107,5.220663,,,,,,,,,,,47455.773,32931.76,27465.87,31876.502,
407,430.2225802272223,5.2457623,,,,,,,,,,,19097.559,18520.145,11156.8955,14804.817,
410,448.2330147060161,5.3098526,,,,,,,,,,,19928.715,100416.875,47146.05,46560.742,
411,375.2156032175874,5.3134675,,,,,,,,,,,599.5153,20306.695,97.86328,571.92194,
