row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,DPT-D-60m.mzML Peak area,DPT-H-60m.mzML Peak area,DPT-M-60m.mzML Peak area,DPT-R-60m.mzML Peak area,
369,537.2518253237154,4.7114644,,,,,,,,,,,21856.412,17287.912,16376.666,15907.712,
372,416.30071589708524,4.643696,,,,,,,,,,,25932.209,10487.246,5425.567,42149.094,
373,680.4431966532794,4.7329507,,,,,,,,,,,62567.016,50003.23,52212.617,49305.73,
375,620.387000051956,4.758194,,,,,,,,,,,43361.24,48415.58,36533.586,42740.67,
377,681.9098631699502,4.822773,,,,,,,,,,,241.8365,162.29872,18105.65,242.68353,
378,681.9541124242519,4.855069,,,,,,,,,,,479.65988,70.68392,20753.541,243.54877,
379,714.2798755876821,4.7942653,,,,,,,,,,,694.76154,189.89545,23864.611,219.44934,
381,789.4163154517744,4.8444467,,,,,,,,,,,777.5134,265.4155,45358.812,1276.141,
382,833.1583809079237,4.815581,,,,,,,,,,,669.9689,434.4903,32350.25,223.86435,
384,559.2968275563638,4.797503,,,,,,,,,,,19267.371,23293.395,19772.025,19830.438,
385,576.3234514205081,4.797503,,,,,,,,,,,1608319.6,2002329.6,1679564.1,1613475.2,
386,604.3543473611212,4.797503,,,,,,,,,,,54795.68,61582.81,52950.625,57217.223,
387,833.1031125869945,4.797477,,,,,,,,,,,811.2066,425.1639,25256.393,382.05353,
388,882.2217490386704,4.8082294,,,,,,,,,,,340.8435,288.21677,25510.656,736.3939,
389,504.2594920598451,4.801031,,,,,,,,,,,26061.72,27115.562,24096.297,21706.543,
390,575.2609596158911,4.8117642,,,,,,,,,,,22708.193,10586.456,11916.686,15540.808,
391,789.3737288623023,4.804742,,,,,,,,,,,269.154,321.09833,40642.36,363.9377,
392,789.4709039819381,4.887356,,,,,,,,,,,288.2331,369.70715,37192.965,359.75366,
393,800.7827495526966,4.79043,,,,,,,,,,,270.29053,180.73456,215.06744,16734.877,
394,664.4120262357386,4.8261867,,,,,,,,,,,32576.531,28123.447,28723.59,26728.535,
395,504.2233615259747,4.862225,,,,,,,,,,,180871.62,575866.9,278073.78,238029.06,
396,724.4694259274772,4.8334,,,,,,,,,,,19021.64,16861.727,11059.089,25728.854,
397,476.2644466483911,4.8586164,,,,,,,,,,,50821.4,52394.723,39903.16,42950.668,
399,711.8410168042484,4.840863,,,,,,,,,,,204.56694,14341.028,319.31927,187.26965,
400,603.3228611339805,4.872787,,,,,,,,,,,20063.637,22824.842,16838.812,20894.506,
401,620.3496034010891,4.872787,,,,,,,,,,,1382458.9,1634824.9,1321485.6,1422273.8,
402,648.3805991176135,4.872787,,,,,,,,,,,41994.53,47495.574,39895.098,44918.9,
403,625.304529163604,4.8763595,,,,,,,,,,,13395.115,14244.01,11784.343,15050.506,
404,520.2184518229913,5.0743427,,,,,,,,,,,44810.72,44990.137,21901.959,58936.51,
405,708.4379137702704,4.8871164,,,,,,,,,,,16946.604,12538.798,11820.191,11361.399,
406,996.6012761470461,4.8619766,,,,,,,,,,,552.6488,374.2386,8685.177,440.19962,
407,650.3961331612459,4.736606,,,,,,,,,,,43167.203,30508.951,29699.484,27535.309,
408,925.6366178913763,4.8692765,,,,,,,,,,,696.8859,252.20824,13089.775,803.40643,
409,996.8332402947381,4.9268785,,,,,,,,,,,363.99133,321.89453,8927.701,758.0639,
410,996.914085680825,4.967768,,,,,,,,,,,911.63684,0,13544.48,374.8452,
412,653.694270179213,4.944797,,,,,,,,,,,363.30225,97.01298,16806.016,136.58109,
413,520.2545937143854,4.937573,,,,,,,,,,,9153.696,9210.21,6995.678,8819.686,
414,751.5047888148616,4.88717,,,,,,,,,,,518.55493,591.7223,67273.734,286.86444,
415,790.895066897849,4.9879837,,,,,,,,,,,280.055,369.36783,53876.527,310.92712,
416,790.9403131358524,4.9699335,,,,,,,,,,,332.30316,235.05605,32806.88,335.66394,
417,791.0503392015906,4.9952116,,,,,,,,,,,596.2071,310.94934,40858.582,273.3621,
418,834.775199092225,4.9663796,,,,,,,,,,,1049.9802,615.00354,49913.953,619.6681,
419,834.8845132042618,4.923291,,,,,,,,,,,465.12842,635.20056,50352.56,789.6497,
422,669.3308733761953,4.9447584,,,,,,,,,,,9171.526,8812.494,6507.369,7989.1206,
423,664.3759835351116,4.9447584,,,,,,,,,,,866912.1,832680.3,605910.56,818221.94,
424,647.3489767059734,4.9447584,,,,,,,,,,,14328.772,12574.295,9370.764,13075.342,
425,692.4070298998035,4.9447584,,,,,,,,,,,26537.188,22108.178,14390.448,22819.553,
426,751.4033428739137,4.9735746,,,,,,,,,,,854.47284,204.02179,39820.242,451.01367,
427,751.4417043378834,4.91597,,,,,,,,,,,816.0238,212.8794,44917.07,588.41327,
428,790.9979307390583,5.016797,,,,,,,,,,,448.09982,230.08673,45389.13,250.44524,
430,476.228514249952,4.9987288,,,,,,,,,,,286810.56,275649.1,43327.664,261161.66,
431,466.19953668429974,5.03116,,,,,,,,,,,51758.61,51032.3,17259.03,47908.684,
432,505.2632166983593,5.009611,,,,,,,,,,,94101.45,93886.44,18846.824,62328.727,
433,504.25984540508557,5.009611,,,,,,,,,,,314788.88,310956.0,61317.816,294555.72,
434,708.4024185340131,5.009611,,,,,,,,,,,259379.34,225882.61,122755.984,213151.23,
437,568.7669757593211,5.02407,,,,,,,,,,,7980.7524,2279.422,4765.324,24323.078,
439,864.0601977970753,5.013293,,,,,,,,,,,464.7248,176.92949,1695.5931,198.15097,
440,752.42833045247,5.067317,,,,,,,,,,,75208.28,73098.336,65254.33,69157.27,
442,822.8601734770047,5.102893,,,,,,,,,,,598.7334,170.96461,31758.363,226.29958,
443,868.5126359864838,5.081625,,,,,,,,,,,392.38477,281.79065,59861.37,407.19287,
444,919.5468264202706,5.0887175,,,,,,,,,,,503.84753,276.49237,35915.926,312.02063,
445,977.1444990886314,5.0383897,,,,,,,,,,,228.43042,356.97876,21609.746,269.65515,
448,781.7152701380629,5.120862,,,,,,,,,,,768.9892,160.6885,17281.05,305.40027,
449,781.8250046888838,5.0383315,,,,,,,,,,,434.52924,788.02106,19334.117,439.1429,
450,868.463732963389,5.1243815,,,,,,,,,,,822.62286,147.0305,27394.926,462.873,
451,520.2184719309263,5.117349,,,,,,,,,,,102938.14,102847.375,48861.793,98445.055,
452,883.8801127503782,4.9806166,,,,,,,,,,,953.0618,336.48724,35680.316,886.4663,
453,883.9449962569249,4.977194,,,,,,,,,,,791.0915,236.93842,46037.363,280.0802,
455,977.0152824594916,5.0740147,,,,,,,,,,,375.23514,241.09998,36604.67,308.87744,
456,796.4540923160246,5.1243134,,,,,,,,,,,42091.4,28863.512,32802.39,43917.414,
459,560.7692470370155,5.1279297,,,,,,,,,,,593699.2,213189.7,521391.6,772104.4,
460,481.1848815086956,5.1279297,,,,,,,,,,,225299.08,83895.23,165796.92,284458.2,
462,834.9434180518014,4.9160824,,,,,,,,,,,651.7794,338.02243,34044.613,215.69562,
463,919.4834993381508,5.0992694,,,,,,,,,,,373.30756,178.23148,49890.63,822.1669,
464,1120.5312490421813,5.1314354,,,,,,,,,,,253366.06,92075.73,406640.56,326721.62,
465,640.353226357856,5.1314354,,,,,,,,,,,124949.125,42074.91,104563.805,157354.22,
467,790.9403638437021,4.991519,,,,,,,,,,,332.30316,235.05605,14723.177,335.66394,
468,834.8856564953891,5.195976,,,,,,,,,,,372.59247,347.24432,12485.745,789.6497,
470,790.9996339144836,5.1168485,,,,,,,,,,,448.09982,230.08673,18028.414,390.28052,
471,834.9930883074371,5.102438,,,,,,,,,,,653.31836,915.0115,15737.097,636.03674,
474,603.2922234899753,5.0809507,,,,,,,,,,,12540.858,12926.083,4123.6416,10937.266,
475,751.4004075911143,5.210012,,,,,,,,,,,377.53583,142.28908,13636.507,451.01367,
476,504.22339733944125,5.1993356,,,,,,,,,,,1855915.2,1944968.9,1435302.5,1892941.5,
477,505.22662711090106,5.1993356,,,,,,,,,,,423073.44,444928.16,320763.12,547223.1,
480,416.3009154845746,5.049022,,,,,,,,,,,29512.838,7373.4287,2350.8677,8502.111,
481,781.7644581291795,5.0562634,,,,,,,,,,,926.4342,488.15906,21728.424,187.3088,
483,532.2549231782148,5.2208767,,,,,,,,,,,282656.2,310550.38,215248.78,301041.5,
484,533.2581652437884,5.2208767,,,,,,,,,,,91131.43,96241.01,67902.84,91157.98,
485,451.2703778245674,5.224409,,,,,,,,,,,10659.294,11027.635,6228.9253,13838.4375,
487,919.607756368419,5.1533084,,,,,,,,,,,540.6332,224.89896,30053.115,708.9564,
489,430.2227466895897,5.2495127,,,,,,,,,,,14369.806,18979.186,4952.018,13566.199,
491,473.2836753251146,5.267592,,,,,,,,,,,15842.127,11120.801,6782.08,15037.686,
492,448.23316831346875,5.3101435,,,,,,,,,,,49310.74,119688.86,44741.4,100616.72,
496,596.7799807383211,5.3177795,,,,,,,,,,,18164.748,15111.671,17087.398,16480.266,
498,919.6635055718361,5.3387194,,,,,,,,,,,633.68225,541.57574,12309.099,260.534,
499,532.2187886000115,5.3387413,,,,,,,,,,,2136444.2,2275969.5,2066380.0,2287338.5,
500,533.2219236899972,5.3387413,,,,,,,,,,,635750.5,677875.4,611278.8,684610.2,
501,504.2595145227109,5.342288,,,,,,,,,,,154085.39,146248.22,131689.42,149218.5,
502,505.2628771808904,5.342288,,,,,,,,,,,46605.617,42219.625,37168.82,41050.605,
504,403.17517887079964,5.3101435,,,,,,,,,,,3717.4446,12301.008,6377.0684,8627.855,
505,480.27472714474277,5.3140144,,,,,,,,,,,847.2903,80.232544,5743.214,34986.324,
506,466.19940425535293,5.381579,,,,,,,,,,,52513.746,44635.61,43736.215,50731.344,
507,919.5420486376516,5.3390293,,,,,,,,,,,719.9484,265.20422,13130.282,222.83575,
508,440.3009476798625,5.3714137,,,,,,,,,,,6985.834,43803.18,41371.05,43201.914,
510,494.23064270968985,5.3991694,,,,,,,,,,,32359.73,25438.488,26717.389,27298.018,
512,548.2484837181518,5.413494,,,,,,,,,,,30991.854,31134.445,34516.242,32965.195,
513,417.2250731830051,5.3999405,,,,,,,,,,,1813.3561,39367.305,4447.539,16415.26,
514,868.4584650032891,5.392056,,,,,,,,,,,495.54733,865.3439,9079.781,261.94904,
