id,mz,rt,rtmin,rtmax,mean_inten,CPD-D-60m,CPD-H-60m,CPD-M-60m,CPD-R-60m
269,595.36215,4.3966,4.3383,4.5036,255100.0,9020.0,8063.0,8401.0,9646.0
270,476.22793,4.4002,4.3337,4.4624,621500.0,22310.0,20390.0,20930.0,22330.0
271,487.31136,4.4146,4.2905,4.8088,675000.0,51670.0,48660.0,48340.0,54390.0
272,752.87564,4.3931,4.3337,4.5227,222200.0,229.8,93.05,15720.0,210.6
273,753.08877,4.4715,4.3811,4.5968,252600.0,452.9,124.6,9248.0,266.3
274,504.33802,4.425,4.2895,4.7542,512400.0,54470.0,54180.0,52180.0,59390.0
275,647.31785,4.425,4.367,4.5315,364000.0,14460.0,15640.0,12930.0,16130.0
277,606.33355,4.4574,4.4048,4.6461,929000.0,44530.0,46230.0,42110.0,47630.0
278,434.31152,4.4646,4.4038,4.6049,499700.0,4175.0,19420.0,1069.0,2672.0
279,619.35369,4.4825,4.4192,4.6316,371400.0,18270.0,13710.0,14550.0,16490.0
280,636.38049,4.4825,4.4192,5.0918,13560000.0,708000.0,573900.0,613000.0,636700.0
281,664.41143,4.4825,4.4235,4.6749,515300.0,27270.0,20200.0,23050.0,25110.0
282,518.3173,4.4895,4.3687,4.5946,280000.0,17320.0,24360.0,22580.0,26250.0
283,531.33762,4.5,4.4038,4.7904,795700.0,46730.0,47260.0,43720.0,48100.0
284,449.19903,4.5034,4.438,4.6946,819600.0,31890.0,31130.0,38340.0,31320.0
285,371.22749,4.5034,4.4541,4.5749,571500.0,24330.0,22100.0,20460.0,23370.0
286,399.22255,4.5034,4.448,4.732,1704000.0,81700.0,79070.0,70080.0,80980.0
287,427.21756,4.5034,4.4465,4.7397,583400.0,29050.0,29390.0,27640.0,29400.0
288,444.24416,4.5034,4.448,4.6461,58990000.0,2855000.0,2911000.0,2751000.0,2912000.0
289,472.27537,4.5034,4.4336,4.8831,4008000.0,194500.0,189900.0,178800.0,197800.0
290,548.36379,4.5034,4.3383,4.8975,904600.0,85640.0,89230.0,84080.0,91560.0
291,447.25174,4.5034,4.438,4.6946,372000.0,15580.0,15690.0,14810.0,15870.0
292,576.39521,4.5034,4.4114,4.7036,337200.0,19850.0,17540.0,17350.0,18890.0
293,539.2619,4.5245,4.3811,4.637,267500.0,4309.0,9681.0,12620.0,5057.0
294,650.35988,4.5389,4.4896,4.732,855900.0,40080.0,38420.0,37980.0,42130.0
295,680.40693,4.5569,4.4828,4.9552,5493000.0,268100.0,181100.0,227800.0,220700.0
296,388.33645,4.6296,4.4048,4.9626,2003000.0,,111200.0,,52.47
297,575.36423,4.5822,4.495,4.8756,570400.0,34370.0,32820.0,33050.0,35590.0
298,476.26411,4.5858,4.5333,4.7946,503300.0,32820.0,28220.0,31500.0,31370.0
299,562.34346,4.5929,4.4609,4.8975,353200.0,35500.0,37300.0,34030.0,43080.0
300,448.23316,4.4538,4.1328,4.5315,758700.0,79740.0,62210.0,74220.0,75840.0
301,592.39036,4.5998,4.4767,4.9237,1345000.0,119500.0,115700.0,121000.0,124100.0
302,416.3001,4.6642,4.5227,4.9193,638200.0,26330.0,21420.0,4438.0,6746.0
303,491.27817,4.6105,4.5315,4.7397,466100.0,21530.0,20660.0,20550.0,19660.0
304,493.22548,4.6105,4.5036,4.7176,601100.0,32010.0,24390.0,22570.0,29070.0
305,443.24878,4.6105,4.5516,4.8088,908000.0,44430.0,46430.0,46280.0,43450.0
306,471.2437,4.6105,4.5477,4.8477,629300.0,28520.0,30890.0,29770.0,28710.0
307,488.27048,4.6105,4.5621,4.7464,65300000.0,2953000.0,3014000.0,3039000.0,3006000.0
308,516.30167,4.6105,4.5477,4.9407,2778000.0,125800.0,120600.0,131000.0,125100.0
309,694.3859,4.6174,4.5477,4.7829,460600.0,21010.0,15510.0,18970.0,17950.0
310,374.35296,4.5569,4.4336,4.7763,334600.0,,20750.0,90.09,
